Number,Pokemon,Type1,Type2,HP,Attack,Defense,Special,Speed,GIF,PNG
282,Gardevoir,PSYCHIC,,68,65,65,125,80,https://play.pokemonshowdown.com/sprites/bwani/gardevoir.gif,https://play.pokemonshowdown.com/sprites/bw/gardevoir.png
283,Surskit,BUG,WATER,40,30,32,50,65,https://play.pokemonshowdown.com/sprites/bwani/surskit.gif,https://play.pokemonshowdown.com/sprites/bw/surskit.png
284,Masquerain,BUG,FLYING,70,60,62,100,80,https://play.pokemonshowdown.com/sprites/bwani/masquerain.gif,https://play.pokemonshowdown.com/sprites/bw/masquerain.png
285,Shroomish,GRASS,,60,40,60,40,35,https://play.pokemonshowdown.com/sprites/bwani/shroomish.gif,https://play.pokemonshowdown.com/sprites/bw/shroomish.png
286,Breloom,GRASS,FIGHTING,60,130,80,60,70,https://play.pokemonshowdown.com/sprites/bwani/breloom.gif,https://play.pokemonshowdown.com/sprites/bw/breloom.png
287,Slakoth,NORMAL,,60,60,60,35,30,https://play.pokemonshowdown.com/sprites/bwani/slakoth.gif,https://play.pokemonshowdown.com/sprites/bw/slakoth.png
288,Vigoroth,NORMAL,,80,80,80,55,90,https://play.pokemonshowdown.com/sprites/bwani/vigoroth.gif,https://play.pokemonshowdown.com/sprites/bw/vigoroth.png
289,Slaking,NORMAL,,150,160,100,95,100,https://play.pokemonshowdown.com/sprites/bwani/slaking.gif,https://play.pokemonshowdown.com/sprites/bw/slaking.png
290,Nincada,BUG,GROUND,31,45,90,30,40,https://play.pokemonshowdown.com/sprites/bwani/nincada.gif,https://play.pokemonshowdown.com/sprites/bw/nincada.png
291,Ninjask,BUG,FLYING,61,90,45,50,160,https://play.pokemonshowdown.com/sprites/bwani/ninjask.gif,https://play.pokemonshowdown.com/sprites/bw/ninjask.png
292,Shedinja,BUG,GHOST,1,90,45,30,40,https://play.pokemonshowdown.com/sprites/bwani/shedinja.gif,https://play.pokemonshowdown.com/sprites/bw/shedinja.png
293,Whismur,NORMAL,,64,51,23,51,28,https://play.pokemonshowdown.com/sprites/bwani/whismur.gif,https://play.pokemonshowdown.com/sprites/bw/whismur.png
294,Loudred,NORMAL,,84,71,43,71,48,https://play.pokemonshowdown.com/sprites/bwani/loudred.gif,https://play.pokemonshowdown.com/sprites/bw/loudred.png
295,Exploud,NORMAL,,104,91,63,91,68,https://play.pokemonshowdown.com/sprites/bwani/exploud.gif,https://play.pokemonshowdown.com/sprites/bw/exploud.png
296,Makuhita,FIGHTING,,72,60,30,20,25,https://play.pokemonshowdown.com/sprites/bwani/makuhita.gif,https://play.pokemonshowdown.com/sprites/bw/makuhita.png
297,Hariyama,FIGHTING,,144,120,60,40,50,https://play.pokemonshowdown.com/sprites/bwani/hariyama.gif,https://play.pokemonshowdown.com/sprites/bw/hariyama.png
298,Azurill,NORMAL,,50,20,40,20,20,https://play.pokemonshowdown.com/sprites/bwani/azurill.gif,https://play.pokemonshowdown.com/sprites/bw/azurill.png
299,Nosepass,ROCK,,30,45,135,45,30,https://play.pokemonshowdown.com/sprites/bwani/nosepass.gif,https://play.pokemonshowdown.com/sprites/bw/nosepass.png
300,Skitty,NORMAL,,50,45,45,35,50,https://play.pokemonshowdown.com/sprites/bwani/skitty.gif,https://play.pokemonshowdown.com/sprites/bw/skitty.png
301,Delcatty,NORMAL,,70,65,65,55,90,https://play.pokemonshowdown.com/sprites/bwani/delcatty.gif,https://play.pokemonshowdown.com/sprites/bw/delcatty.png
302,Sableye,DARK,GHOST,50,75,75,65,50,https://play.pokemonshowdown.com/sprites/bwani/sableye.gif,https://play.pokemonshowdown.com/sprites/bw/sableye.png
303,Mawile,STEEL,,50,85,85,55,50,https://play.pokemonshowdown.com/sprites/bwani/mawile.gif,https://play.pokemonshowdown.com/sprites/bw/mawile.png
304,Aron,STEEL,ROCK,50,70,100,40,30,https://play.pokemonshowdown.com/sprites/bwani/aron.gif,https://play.pokemonshowdown.com/sprites/bw/aron.png
305,Lairon,STEEL,ROCK,60,90,140,50,40,https://play.pokemonshowdown.com/sprites/bwani/lairon.gif,https://play.pokemonshowdown.com/sprites/bw/lairon.png
306,Aggron,STEEL,ROCK,70,110,180,60,50,https://play.pokemonshowdown.com/sprites/bwani/aggron.gif,https://play.pokemonshowdown.com/sprites/bw/aggron.png
307,Meditite,FIGHTING,PSYCHIC,30,40,55,40,60,https://play.pokemonshowdown.com/sprites/bwani/meditite.gif,https://play.pokemonshowdown.com/sprites/bw/meditite.png
308,Medicham,FIGHTING,PSYCHIC,60,60,75,60,80,https://play.pokemonshowdown.com/sprites/bwani/medicham.gif,https://play.pokemonshowdown.com/sprites/bw/medicham.png
309,Electrike,ELECTRIC,,40,45,40,65,65,https://play.pokemonshowdown.com/sprites/bwani/electrike.gif,https://play.pokemonshowdown.com/sprites/bw/electrike.png
310,Manectric,ELECTRIC,,70,75,60,105,105,https://play.pokemonshowdown.com/sprites/bwani/manectric.gif,https://play.pokemonshowdown.com/sprites/bw/manectric.png
311,Plusle,ELECTRIC,,60,50,40,85,95,https://play.pokemonshowdown.com/sprites/bwani/plusle.gif,https://play.pokemonshowdown.com/sprites/bw/plusle.png
312,Minun,ELECTRIC,,60,40,50,75,95,https://play.pokemonshowdown.com/sprites/bwani/minun.gif,https://play.pokemonshowdown.com/sprites/bw/minun.png
313,Volbeat,BUG,,65,73,75,47,85,https://play.pokemonshowdown.com/sprites/bwani/volbeat.gif,https://play.pokemonshowdown.com/sprites/bw/volbeat.png
314,Illumise,BUG,,65,47,75,73,85,https://play.pokemonshowdown.com/sprites/bwani/illumise.gif,https://play.pokemonshowdown.com/sprites/bw/illumise.png
315,Roselia,GRASS,POISON,50,60,45,100,65,https://play.pokemonshowdown.com/sprites/bwani/roselia.gif,https://play.pokemonshowdown.com/sprites/bw/roselia.png
316,Gulpin,POISON,,70,43,53,43,40,https://play.pokemonshowdown.com/sprites/bwani/gulpin.gif,https://play.pokemonshowdown.com/sprites/bw/gulpin.png
317,Swalot,POISON,,100,73,83,73,55,https://play.pokemonshowdown.com/sprites/bwani/swalot.gif,https://play.pokemonshowdown.com/sprites/bw/swalot.png
318,Carvanha,WATER,DARK,45,90,20,65,65,https://play.pokemonshowdown.com/sprites/bwani/carvanha.gif,https://play.pokemonshowdown.com/sprites/bw/carvanha.png
319,Sharpedo,WATER,DARK,70,120,40,95,95,https://play.pokemonshowdown.com/sprites/bwani/sharpedo.gif,https://play.pokemonshowdown.com/sprites/bw/sharpedo.png
320,Wailmer,WATER,,130,70,35,70,60,https://play.pokemonshowdown.com/sprites/bwani/wailmer.gif,https://play.pokemonshowdown.com/sprites/bw/wailmer.png
321,Wailord,WATER,,170,90,45,90,60,https://play.pokemonshowdown.com/sprites/bwani/wailord.gif,https://play.pokemonshowdown.com/sprites/bw/wailord.png
322,Numel,FIRE,GROUND,60,60,40,65,35,https://play.pokemonshowdown.com/sprites/bwani/numel.gif,https://play.pokemonshowdown.com/sprites/bw/numel.png
323,Camerupt,FIRE,GROUND,70,100,70,105,40,https://play.pokemonshowdown.com/sprites/bwani/camerupt.gif,https://play.pokemonshowdown.com/sprites/bw/camerupt.png
324,Torkoal,FIRE,,70,85,140,85,20,https://play.pokemonshowdown.com/sprites/bwani/torkoal.gif,https://play.pokemonshowdown.com/sprites/bw/torkoal.png
325,Spoink,PSYCHIC,,60,25,35,70,60,https://play.pokemonshowdown.com/sprites/bwani/spoink.gif,https://play.pokemonshowdown.com/sprites/bw/spoink.png
326,Grumpig,PSYCHIC,,80,45,65,90,80,https://play.pokemonshowdown.com/sprites/bwani/grumpig.gif,https://play.pokemonshowdown.com/sprites/bw/grumpig.png
327,Spinda,NORMAL,,60,60,60,60,60,https://play.pokemonshowdown.com/sprites/bwani/spinda.gif,https://play.pokemonshowdown.com/sprites/bw/spinda.png
328,Trapinch,GROUND,,45,100,45,45,10,https://play.pokemonshowdown.com/sprites/bwani/trapinch.gif,https://play.pokemonshowdown.com/sprites/bw/trapinch.png
329,Vibrava,GROUND,DRAGON,50,70,50,50,70,https://play.pokemonshowdown.com/sprites/bwani/vibrava.gif,https://play.pokemonshowdown.com/sprites/bw/vibrava.png
330,Flygon,GROUND,DRAGON,80,100,80,80,100,https://play.pokemonshowdown.com/sprites/bwani/flygon.gif,https://play.pokemonshowdown.com/sprites/bw/flygon.png
331,Cacnea,GRASS,,50,85,40,85,35,https://play.pokemonshowdown.com/sprites/bwani/cacnea.gif,https://play.pokemonshowdown.com/sprites/bw/cacnea.png
332,Cacturne,GRASS,DARK,70,115,60,115,55,https://play.pokemonshowdown.com/sprites/bwani/cacturne.gif,https://play.pokemonshowdown.com/sprites/bw/cacturne.png
333,Swablu,NORMAL,FLYING,45,40,60,40,50,https://play.pokemonshowdown.com/sprites/bwani/swablu.gif,https://play.pokemonshowdown.com/sprites/bw/swablu.png
334,Altaria,DRAGON,FLYING,75,70,90,70,80,https://play.pokemonshowdown.com/sprites/bwani/altaria.gif,https://play.pokemonshowdown.com/sprites/bw/altaria.png
335,Zangoose,NORMAL,,73,115,60,60,90,https://play.pokemonshowdown.com/sprites/bwani/zangoose.gif,https://play.pokemonshowdown.com/sprites/bw/zangoose.png
336,Seviper,POISON,,73,100,60,100,65,https://play.pokemonshowdown.com/sprites/bwani/seviper.gif,https://play.pokemonshowdown.com/sprites/bw/seviper.png
337,Lunatone,ROCK,PSYCHIC,90,55,65,95,70,https://play.pokemonshowdown.com/sprites/bwani/lunatone.gif,https://play.pokemonshowdown.com/sprites/bw/lunatone.png
338,Solrock,ROCK,PSYCHIC,90,95,85,55,70,https://play.pokemonshowdown.com/sprites/bwani/solrock.gif,https://play.pokemonshowdown.com/sprites/bw/solrock.png
339,Barboach,WATER,GROUND,50,48,43,46,60,https://play.pokemonshowdown.com/sprites/bwani/barboach.gif,https://play.pokemonshowdown.com/sprites/bw/barboach.png
340,Whiscash,WATER,GROUND,110,78,73,76,60,https://play.pokemonshowdown.com/sprites/bwani/whiscash.gif,https://play.pokemonshowdown.com/sprites/bw/whiscash.png
341,Corphish,WATER,,43,80,65,50,35,https://play.pokemonshowdown.com/sprites/bwani/corphish.gif,https://play.pokemonshowdown.com/sprites/bw/corphish.png
342,Crawdaunt,WATER,DARK,63,120,85,90,55,https://play.pokemonshowdown.com/sprites/bwani/crawdaunt.gif,https://play.pokemonshowdown.com/sprites/bw/crawdaunt.png
343,Baltoy,GROUND,PSYCHIC,40,40,55,40,55,https://play.pokemonshowdown.com/sprites/bwani/baltoy.gif,https://play.pokemonshowdown.com/sprites/bw/baltoy.png
344,Claydol,GROUND,PSYCHIC,60,70,105,70,75,https://play.pokemonshowdown.com/sprites/bwani/claydol.gif,https://play.pokemonshowdown.com/sprites/bw/claydol.png
345,Lileep,ROCK,GRASS,66,41,77,61,23,https://play.pokemonshowdown.com/sprites/bwani/lileep.gif,https://play.pokemonshowdown.com/sprites/bw/lileep.png
346,Cradily,ROCK,GRASS,86,81,97,81,43,https://play.pokemonshowdown.com/sprites/bwani/cradily.gif,https://play.pokemonshowdown.com/sprites/bw/cradily.png
347,Anorith,ROCK,BUG,45,95,50,40,75,https://play.pokemonshowdown.com/sprites/bwani/anorith.gif,https://play.pokemonshowdown.com/sprites/bw/anorith.png
348,Armaldo,ROCK,BUG,75,125,100,70,45,https://play.pokemonshowdown.com/sprites/bwani/armaldo.gif,https://play.pokemonshowdown.com/sprites/bw/armaldo.png
349,Feebas,WATER,,20,15,20,10,80,https://play.pokemonshowdown.com/sprites/bwani/feebas.gif,https://play.pokemonshowdown.com/sprites/bw/feebas.png
350,Milotic,WATER,,95,60,79,100,81,https://play.pokemonshowdown.com/sprites/bwani/milotic.gif,https://play.pokemonshowdown.com/sprites/bw/milotic.png
351,Castform,NORMAL,,70,70,70,70,70,https://play.pokemonshowdown.com/sprites/bwani/castform.gif,https://play.pokemonshowdown.com/sprites/bw/castform.png
352,Kecleon,NORMAL,,60,90,70,60,40,https://play.pokemonshowdown.com/sprites/bwani/kecleon.gif,https://play.pokemonshowdown.com/sprites/bw/kecleon.png
353,Shuppet,GHOST,,44,75,35,63,45,https://play.pokemonshowdown.com/sprites/bwani/shuppet.gif,https://play.pokemonshowdown.com/sprites/bw/shuppet.png
354,Banette,GHOST,,64,115,65,83,65,https://play.pokemonshowdown.com/sprites/bwani/banette.gif,https://play.pokemonshowdown.com/sprites/bw/banette.png
355,Duskull,GHOST,,20,40,90,30,25,https://play.pokemonshowdown.com/sprites/bwani/duskull.gif,https://play.pokemonshowdown.com/sprites/bw/duskull.png
356,Dusclops,GHOST,,40,70,130,60,25,https://play.pokemonshowdown.com/sprites/bwani/dusclops.gif,https://play.pokemonshowdown.com/sprites/bw/dusclops.png
357,Tropius,GRASS,FLYING,99,68,83,72,51,https://play.pokemonshowdown.com/sprites/bwani/tropius.gif,https://play.pokemonshowdown.com/sprites/bw/tropius.png
358,Chimecho,PSYCHIC,,75,50,80,95,65,https://play.pokemonshowdown.com/sprites/bwani/chimecho.gif,https://play.pokemonshowdown.com/sprites/bw/chimecho.png
359,Absol,DARK,,65,130,60,75,75,https://play.pokemonshowdown.com/sprites/bwani/absol.gif,https://play.pokemonshowdown.com/sprites/bw/absol.png
360,Wynaut,PSYCHIC,,95,23,48,23,23,https://play.pokemonshowdown.com/sprites/bwani/wyanut.gif,https://play.pokemonshowdown.com/sprites/bw/wynaut.png
361,Snorunt,ICE,,50,50,50,50,50,https://play.pokemonshowdown.com/sprites/bwani/snorunt.gif,https://play.pokemonshowdown.com/sprites/bw/snorunt.png
362,Glalie,ICE,,80,80,80,80,80,https://play.pokemonshowdown.com/sprites/bwani/glalie.gif,https://play.pokemonshowdown.com/sprites/bw/glalie.png
363,Spheal,ICE,WATER,70,40,50,55,25,https://play.pokemonshowdown.com/sprites/bwani/spheal.gif,https://play.pokemonshowdown.com/sprites/bw/spheal.png
364,Sealeo,ICE,WATER,90,60,70,75,45,https://play.pokemonshowdown.com/sprites/bwani/sealeo.gif,https://play.pokemonshowdown.com/sprites/bw/sealeo.png
365,Walrein,ICE,WATER,110,80,90,95,65,https://play.pokemonshowdown.com/sprites/bwani/walrein.gif,https://play.pokemonshowdown.com/sprites/bw/walrein.png
366,Clamperl,WATER,,35,64,85,74,32,https://play.pokemonshowdown.com/sprites/bwani/clamperl.gif,https://play.pokemonshowdown.com/sprites/bw/clamperl.png
367,Huntail,WATER,,55,104,105,94,52,https://play.pokemonshowdown.com/sprites/bwani/huntail.gif,https://play.pokemonshowdown.com/sprites/bw/huntail.png
368,Gorebyss,WATER,,55,84,105,114,52,https://play.pokemonshowdown.com/sprites/bwani/gorebyss.gif,https://play.pokemonshowdown.com/sprites/bw/gorebyss.png
369,Relicanth,WATER,ROCK,100,90,130,45,55,https://play.pokemonshowdown.com/sprites/bwani/relicanth.gif,https://play.pokemonshowdown.com/sprites/bw/relicanth.png
370,Luvdisc,WATER,,43,30,55,40,97,https://play.pokemonshowdown.com/sprites/bwani/luvdisc.gif,https://play.pokemonshowdown.com/sprites/bw/luvdisc.png
371,Bagon,DRAGON,,45,75,60,40,50,https://play.pokemonshowdown.com/sprites/bwani/bagon.gif,https://play.pokemonshowdown.com/sprites/bw/bagon.png
372,Shelgon,DRAGON,,65,95,100,60,50,https://play.pokemonshowdown.com/sprites/bwani/shelgon.gif,https://play.pokemonshowdown.com/sprites/bw/shelgon.png
373,Salamence,DRAGON,FLYING,95,135,80,110,100,https://play.pokemonshowdown.com/sprites/bwani/salamence.gif,https://play.pokemonshowdown.com/sprites/bw/salamence.png
374,Beldum,STEEL,PSYCHIC,40,55,80,35,30,https://play.pokemonshowdown.com/sprites/bwani/beldum.gif,https://play.pokemonshowdown.com/sprites/bw/beldum.png
375,Metang,STEEL,PSYCHIC,60,75,100,55,50,https://play.pokemonshowdown.com/sprites/bwani/metang.gif,https://play.pokemonshowdown.com/sprites/bw/metang.png
376,Metagross,STEEL,PSYCHIC,80,135,130,95,70,https://play.pokemonshowdown.com/sprites/bwani/metagross.gif,https://play.pokemonshowdown.com/sprites/bw/metagross.png
377,Regirock,ROCK,,80,100,200,50,50,https://play.pokemonshowdown.com/sprites/bwani/regirock.gif,https://play.pokemonshowdown.com/sprites/bw/regirock.png
378,Regice,ICE,,80,50,100,100,50,https://play.pokemonshowdown.com/sprites/bwani/regice.gif,https://play.pokemonshowdown.com/sprites/bw/regice.png
379,Registeel,STEEL,,80,75,150,75,50,https://play.pokemonshowdown.com/sprites/bwani/registeel.gif,https://play.pokemonshowdown.com/sprites/bw/registeel.png
380,Latias,DRAGON,PSYCHIC,80,80,90,110,110,https://play.pokemonshowdown.com/sprites/bwani/latias.gif,https://play.pokemonshowdown.com/sprites/bw/latias.png
381,Latios,DRAGON,PSYCHIC,80,90,80,130,110,https://play.pokemonshowdown.com/sprites/bwani/latios.gif,https://play.pokemonshowdown.com/sprites/bw/latios.png
382,Kyogre,WATER,,100,100,90,150,90,https://play.pokemonshowdown.com/sprites/bwani/kyogre.gif,https://play.pokemonshowdown.com/sprites/bw/kyogre.png
383,Groudon,GROUND,,100,150,140,100,90,https://play.pokemonshowdown.com/sprites/bwani/groudon.gif,https://play.pokemonshowdown.com/sprites/bw/groudon.png
384,Rayquaza,DRAGON,FLYING,105,150,90,150,95,https://play.pokemonshowdown.com/sprites/bwani/rayquaza.gif,https://play.pokemonshowdown.com/sprites/bw/rayquaza.png
385,Jirachi,STEEL,PSYCHIC,100,100,100,100,100,https://play.pokemonshowdown.com/sprites/bwani/jirachi.gif,https://play.pokemonshowdown.com/sprites/bw/jirachi.png
386,Deoxys,PSYCHIC,,50,150,50,150,150,https://play.pokemonshowdown.com/sprites/bwani/deoxys.gif,https://play.pokemonshowdown.com/sprites/bw/deoxys.png
